,Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)",Kosher_Status,Halal_Status,Hinduism_Status,Buddhism_Status,Rastafarianism_Status,Diabetic_Status,Low_Sodium_Status,Low_Fat_Status,Low_Cholesterol_Status,Fructose_Intolerance_Status,Nightshade_Sensitivity_Status,Histamine_Intolerance_Status,Vegan_Status,Vegetarian_Status,Pescatarian_Status,Raw_Food_Diet_Status,Paleo_Status,Keto_Status,Lactose_Intolerance_Status,Gluten_Intolerance_Status,Nut_Allergy_Status,Shellfish_Allergy_Status,Fish_Allergy_Status,Soy_Allergy_Status
813,"Taco, NFS",Burritos and tacos,246,15.31,15.62,0.33,2.2,13.56,4.178,5.594,2.275,45,7,7,0,0,0,0,1,0.062,0.124,3.116,0.281,0,6,6,6,46.7,1.27,0.0,0.0,0.0,0.93,0.0,4.7,54,220,36,1.65,3.57,0.095,14.3,217,367,0,0,0.0,0.018,0.01,0.007,0.02,0.028,0.298,2.473,1.158,0.322,5.115,0.048,0.0,2.023,0.22,0.0,0.023,0.0,0.004,0.0,53.99,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,"Taco, fish",Burritos and tacos,275,11.62,22.99,0.43,2.5,15.29,2.383,5.904,5.574,27,10,10,0,0,0,0,7,0.156,0.11,3.473,0.229,12,12,32,23,39.1,1.12,0.0,0.5,2.5,2.89,0.0,11.6,42,226,40,1.14,0.73,0.093,15.4,227,447,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.108,1.693,0.467,0.191,5.555,0.142,0.002,4.538,0.533,0.021,0.022,0.138,0.066,0.196,48.49,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
815,"Burrito, NFS",Burritos and tacos,219,11.12,23.87,1.68,2.5,8.54,3.481,2.656,1.238,22,11,11,0,0,0,0,4,0.236,0.191,2.941,0.141,32,16,70,48,27.9,0.57,0.0,0.2,0.0,0.08,0.0,4.0,104,173,25,2.38,1.8,0.097,16.5,212,486,0,0,0.0,0.038,0.02,0.014,0.035,0.05,0.251,1.912,1.054,0.163,2.475,0.023,0.0,1.055,0.164,0.0,0.011,0.0,0.002,0.0,54.36,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,"Burrito bowl, NFS",Other Mexican mixed dishes,145,13.03,10.58,0.22,1.0,5.44,2.289,1.695,0.756,49,21,21,0,0,0,0,1,0.093,0.116,3.026,0.28,14,10,33,24,38.4,0.2,0.0,0.2,0.1,0.15,0.0,2.1,68,147,23,0.93,1.02,0.069,14.6,196,311,0,0,0.0,0.063,0.033,0.024,0.057,0.076,0.245,1.316,0.415,0.202,1.574,0.017,0.0,0.615,0.082,0.0,0.032,0.002,0.004,0.002,69.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,"Enchilada, NFS",Other Mexican mixed dishes,178,10.03,14.64,0.79,2.3,9.02,3.22,2.753,1.916,33,30,37,15,72,13,198,22,0.065,0.119,1.798,0.206,0,10,10,10,25.2,0.2,0.0,0.2,0.0,0.83,0.0,4.6,116,192,34,0.86,1.14,0.079,10.2,190,459,0,0,0.0,0.1,0.053,0.038,0.088,0.119,0.375,1.78,0.561,0.171,2.712,0.031,0.0,1.683,0.199,0.0,0.019,0.001,0.003,0.001,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,"Enchilada, beef",Other Mexican mixed dishes,191,9.76,14.64,0.79,2.3,10.54,3.931,3.47,1.75,27,29,36,15,72,13,198,21,0.059,0.118,1.404,0.163,0,11,11,11,24.0,0.57,0.0,0.2,0.0,0.82,0.0,4.2,118,188,32,1.14,1.94,0.084,9.4,192,458,0,0,0.0,0.1,0.053,0.038,0.089,0.12,0.447,2.118,0.823,0.201,3.355,0.032,0.0,1.531,0.2,0.0,0.012,0.001,0.002,0.0,62.99,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
819,"Enchilada, pork",Other Mexican mixed dishes,192,9.54,14.64,0.79,2.3,10.74,3.962,3.574,2.002,28,29,36,15,72,13,198,21,0.132,0.147,1.159,0.168,0,9,9,9,26.7,0.3,0.0,0.2,0.2,0.81,0.0,4.0,119,188,33,1.01,1.71,0.092,12.4,191,456,0,0,0.0,0.1,0.053,0.038,0.09,0.12,0.405,2.175,0.864,0.168,3.523,0.046,0.0,1.762,0.201,0.0,0.02,0.001,0.001,0.0,62.76,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
820,"Enchilada, chicken",Other Mexican mixed dishes,178,10.03,14.64,0.79,2.3,9.02,3.22,2.753,1.916,33,30,37,15,72,13,198,22,0.065,0.119,1.798,0.206,0,10,10,10,25.2,0.2,0.0,0.2,0.0,0.83,0.0,4.6,116,192,34,0.86,1.14,0.079,10.2,190,459,0,0,0.0,0.1,0.053,0.038,0.088,0.119,0.375,1.78,0.561,0.171,2.712,0.031,0.0,1.683,0.199,0.0,0.019,0.001,0.003,0.001,64.4,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
821,"Enchilada, no meat",Other Mexican mixed dishes,165,6.37,17.34,0.9,3.1,8.2,2.996,2.37,1.767,12,28,35,15,72,13,198,21,0.064,0.102,0.591,0.114,0,14,14,14,14.3,0.15,0.0,0.4,0.0,0.8,0.0,4.4,121,172,36,1.01,1.02,0.096,6.5,204,474,0,0,0.0,0.1,0.053,0.038,0.088,0.118,0.372,1.592,0.53,0.105,2.401,0.027,0.0,1.533,0.222,0.0,0.005,0.001,0.001,0.0,65.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,"Tamale, NFS",Other Mexican mixed dishes,174,7.38,15.8,0.46,2.4,9.04,2.69,3.2,2.03,20,1,12,0,113,58,85,110,0.04,0.05,1.29,0.132,30,9,60,39,8.8,0.12,0.0,16.4,0.3,0.53,0.0,5.1,75,120,26,0.87,1.2,0.05,9.8,152,473,0,0,0.0,0.003,0.001,0.003,0.009,0.009,0.098,1.69,0.817,0.151,3.01,0.055,0.001,1.84,0.102,0.0,0.034,0.002,0.005,0.002,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,"Tamale, beef",Other Mexican mixed dishes,174,7.38,15.8,0.46,2.4,9.04,2.69,3.2,2.03,20,1,12,0,113,58,85,110,0.04,0.05,1.29,0.132,30,9,60,39,8.8,0.12,0.0,16.4,0.3,0.53,0.0,5.1,75,120,26,0.87,1.2,0.05,9.8,152,473,0,0,0.0,0.003,0.001,0.003,0.009,0.009,0.098,1.69,0.817,0.151,3.01,0.055,0.001,1.84,0.102,0.0,0.034,0.002,0.005,0.002,66.0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
824,"Tamale, pork",Other Mexican mixed dishes,174,7.38,15.8,0.46,2.4,9.04,2.69,3.2,2.03,20,1,12,0,113,58,85,110,0.04,0.05,1.29,0.132,30,9,60,39,8.8,0.12,0.0,16.4,0.3,0.53,0.0,5.1,75,120,26,0.87,1.2,0.05,9.8,152,473,0,0,0.0,0.003,0.001,0.003,0.009,0.009,0.098,1.69,0.817,0.151,3.01,0.055,0.001,1.84,0.102,0.0,0.034,0.002,0.005,0.002,66.0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
825,"Tamale, chicken",Other Mexican mixed dishes,174,7.38,15.8,0.46,2.4,9.04,2.69,3.2,2.03,20,1,12,0,113,58,85,110,0.04,0.05,1.29,0.132,30,9,60,39,8.8,0.12,0.0,16.4,0.3,0.53,0.0,5.1,75,120,26,0.87,1.2,0.05,9.8,152,473,0,0,0.0,0.003,0.001,0.003,0.009,0.009,0.098,1.69,0.817,0.151,3.01,0.055,0.001,1.84,0.102,0.0,0.034,0.002,0.005,0.002,66.0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
826,"Tamale, no meat",Other Mexican mixed dishes,186,3.48,26.68,7.42,3.2,7.21,2.629,2.437,1.548,17,0,2,1,23,4,0,145,0.043,0.053,1.317,0.176,0,1,1,1,24.2,0.0,0.0,0.2,0.4,0.45,0.0,5.4,24,93,29,0.53,0.62,0.028,2.5,186,277,0,0,0.0,0.031,0.023,0.015,0.033,0.038,0.159,1.682,0.565,0.061,2.322,0.025,0.002,1.435,0.102,0.0,0.004,0.001,0.001,0.0,61.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,"Nachos, NFS",Nachos,265,7.6,23.85,0.39,1.7,15.85,3.477,5.492,5.472,18,11,11,0,1,1,0,2,0.1,0.094,1.384,0.12,7,7,18,13,19.6,0.42,0.0,0.0,0.0,2.16,0.0,12.2,74,125,31,1.11,1.52,0.052,6.3,112,488,0,0,0.0,0.049,0.012,0.018,0.034,0.056,0.23,2.2,0.705,0.159,5.3,0.066,0.0,5.116,0.346,0.0,0.008,0.0,0.001,0.0,50.93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
828,"Nachos, chicken",Nachos,242,11.2,19.87,0.32,1.4,13.33,2.738,4.566,4.937,40,12,12,0,1,0,0,3,0.103,0.112,2.722,0.244,6,6,15,11,32.7,0.13,0.0,0.0,0.1,1.85,0.0,11.1,61,146,31,0.86,0.92,0.049,10.7,143,430,0,0,0.0,0.041,0.01,0.015,0.029,0.046,0.146,1.858,0.47,0.183,4.38,0.06,0.001,4.592,0.298,0.001,0.027,0.001,0.003,0.002,54.26,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
829,"Gordita, meat",Other Mexican mixed dishes,296,16.99,13.12,0.32,1.0,19.36,6.144,7.743,3.375,54,20,20,2,4,0,0,55,0.252,0.248,4.306,0.292,22,11,48,33,47.5,1.44,0.0,0.0,0.1,1.35,0.0,7.8,87,179,26,2.6,3.82,0.076,16.0,209,330,0,0,0.0,0.065,0.035,0.025,0.061,0.085,0.492,3.457,1.678,0.391,7.245,0.066,0.0,2.992,0.346,0.0,0.026,0.001,0.004,0.0,49.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,"Chimichanga, meat",Other Mexican mixed dishes,324,12.08,25.76,1.96,1.8,18.8,5.134,6.944,4.87,27,10,10,0,0,0,0,5,0.277,0.211,3.686,0.143,41,11,80,52,27.1,0.72,0.0,0.0,0.0,1.79,0.0,13.4,110,179,18,2.55,2.05,0.076,18.7,150,413,0,0,0.0,0.033,0.017,0.013,0.031,0.045,0.265,3.036,1.5,0.22,6.611,0.087,0.0,4.307,0.541,0.0,0.013,0.001,0.002,0.0,41.75,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
831,"Chimichanga, chicken",Other Mexican mixed dishes,304,12.5,25.76,1.96,1.8,16.42,4.02,5.821,5.13,36,12,12,0,0,0,0,6,0.287,0.212,4.303,0.21,41,10,79,51,29.0,0.13,0.0,0.0,0.0,1.81,0.0,14.0,107,186,20,2.11,0.79,0.069,20.0,147,414,0,0,0.0,0.033,0.017,0.013,0.03,0.043,0.151,2.505,1.09,0.175,5.604,0.085,0.0,4.544,0.539,0.0,0.025,0.002,0.003,0.002,43.96,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
832,"Quesadilla, NFS",Other Mexican mixed dishes,316,13.36,28.62,2.41,2.0,16.21,8.454,3.477,1.699,36,85,85,0,0,0,0,5,0.292,0.292,2.502,0.06,44,14,89,58,10.1,0.45,0.0,0.0,0.1,0.18,0.0,4.9,348,291,23,2.05,1.69,0.063,20.5,107,676,0,0,0.0,0.302,0.161,0.115,0.258,0.357,1.108,4.157,1.739,0.263,3.688,0.027,0.0,1.482,0.2,0.001,0.01,0.002,0.004,0.0,38.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,"Quesadilla, chicken",Other Mexican mixed dishes,287,14.45,27.32,2.15,1.9,12.99,5.058,3.629,2.674,43,36,36,0,0,0,0,6,0.301,0.252,4.226,0.202,43,11,84,54,28.4,0.25,0.0,0.0,0.1,0.57,0.0,7.5,185,235,23,2.18,1.16,0.071,22.1,153,601,0,0,0.0,0.118,0.063,0.045,0.102,0.142,0.454,2.766,1.222,0.213,3.562,0.043,0.0,2.359,0.269,0.001,0.025,0.002,0.004,0.002,43.16,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
834,"Quesadilla, egg",Egg/breakfast sandwiches,249,10.91,20.06,1.75,1.4,13.71,4.429,4.457,3.223,212,109,110,0,6,7,0,256,0.229,0.336,1.725,0.058,31,34,86,64,138.6,0.52,0.0,0.0,1.5,1.24,0.0,6.7,148,215,16,2.28,1.06,0.043,25.9,126,470,0,0,0.0,0.045,0.035,0.022,0.052,0.063,0.228,2.71,1.167,0.17,4.256,0.038,0.0,2.791,0.256,0.0,0.003,0.001,0.001,0.0,53.38,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
835,"Taquito, chicken",Other Mexican mixed dishes,269,12.53,31.61,1.6,3.3,10.41,3.262,3.216,2.805,34,18,18,0,0,0,0,5,0.222,0.185,3.703,0.25,26,9,54,35,29.0,0.16,0.0,0.0,0.0,0.75,0.0,6.4,127,258,40,1.81,1.18,0.099,17.5,178,491,0,0,0.0,0.056,0.03,0.022,0.05,0.068,0.224,1.938,0.782,0.157,3.108,0.039,0.0,2.521,0.245,0.0,0.022,0.001,0.003,0.001,43.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,"Taquito, egg",Egg/breakfast sandwiches,281,9.9,29.25,2.29,2.0,13.56,3.685,4.61,3.912,129,55,55,0,0,4,0,157,0.333,0.3,3.016,0.076,46,25,103,71,90.6,0.3,0.0,0.0,0.8,1.25,0.0,9.1,101,192,18,2.71,0.84,0.067,24.4,137,555,0,0,0.0,0.0,0.0,0.0,0.001,0.004,0.046,2.369,1.175,0.118,4.416,0.057,0.0,3.435,0.349,0.0,0.007,0.0,0.001,0.0,45.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,"Fajita, NFS",Other Mexican mixed dishes,219,11.7,17.99,2.44,1.5,11.02,2.678,4.184,3.006,32,2,21,4,196,53,0,45,0.197,0.2,3.767,0.202,25,16,58,41,24.4,0.51,0.0,23.9,0.0,1.3,0.0,9.2,54,137,18,1.73,1.74,0.076,16.1,190,455,0,0,0.0,0.0,0.0,0.0,0.002,0.003,0.073,1.692,0.811,0.172,3.916,0.048,0.0,2.665,0.318,0.0,0.014,0.0,0.002,0.0,57.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,"Fajita, chicken",Other Mexican mixed dishes,206,11.33,17.99,2.44,1.5,9.8,2.137,3.63,3.058,35,3,21,4,196,53,0,45,0.195,0.174,3.973,0.165,25,16,58,41,25.4,0.12,0.0,23.9,0.0,1.35,0.0,9.0,55,148,18,1.47,0.73,0.069,14.6,188,451,0,0,0.0,0.0,0.0,0.0,0.0,0.002,0.024,1.443,0.604,0.164,3.411,0.048,0.0,2.722,0.324,0.0,0.007,0.0,0.0,0.0,59.41,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
839,"Fajita, shrimp",Other Mexican mixed dishes,189,8.33,18.35,2.44,1.5,8.92,1.931,3.104,3.085,51,24,42,4,198,53,0,45,0.18,0.122,2.255,0.15,25,19,61,44,36.9,0.38,0.0,23.9,0.0,1.85,0.0,9.7,72,171,19,1.32,0.61,0.121,18.9,145,456,0,0,0.0,0.005,0.003,0.002,0.005,0.009,0.036,1.204,0.586,0.033,2.999,0.047,0.0,2.672,0.333,0.0,0.014,0.027,0.003,0.028,62.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,"Fajita, vegetable",Other Mexican mixed dishes,166,3.22,20.43,3.7,2.0,7.84,1.658,2.781,2.789,0,0,38,9,393,107,0,88,0.188,0.145,1.773,0.157,25,22,64,47,6.5,0.0,0.0,47.8,0.0,1.44,0.0,10.4,55,82,14,1.32,0.28,0.064,7.1,160,343,0,0,0.0,0.0,0.0,0.0,0.0,0.002,0.014,1.061,0.519,0.021,2.713,0.043,0.0,2.471,0.316,0.0,0.0,0.0,0.0,0.0,67.19,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
841,"Pupusa, meat",Other Mexican mixed dishes,232,11.51,23.02,1.45,2.6,10.43,3.166,3.964,2.205,29,8,10,0,35,0,752,26,0.083,0.087,2.373,0.23,0,4,4,4,38.4,0.28,0.0,0.1,0.7,0.35,0.0,1.1,49,162,38,1.01,1.62,0.065,17.8,255,426,0,0,0.0,0.009,0.007,0.006,0.017,0.017,0.134,1.985,0.919,0.198,3.661,0.069,0.002,1.986,0.09,0.0,0.042,0.004,0.006,0.003,53.12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
842,Pizza rolls,Pizza,345,9.19,53.39,3.94,1.3,10.5,2.625,4.052,3.003,6,47,63,7,198,0,6186,4,0.17,0.201,1.966,0.066,26,8,52,34,13.5,0.27,0.0,0.0,0.0,1.67,0.0,4.8,132,144,21,1.9,0.77,0.138,12.7,317,631,0,0,0.0,0.053,0.011,0.013,0.026,0.021,0.177,1.553,0.714,0.069,3.956,0.0,0.0,2.785,0.211,0.0,0.0,0.0,0.0,0.0,24.06,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
